article,timestamp,desktop,month,mobile-app,mobile-web
Juan_Guaidó,2019010100,30,1,0,70
Juan_Guaidó,2019010200,51,1,1,89
Juan_Guaidó,2019010300,84,1,1,145
Juan_Guaidó,2019010400,276,1,4,532
Juan_Guaidó,2019010500,1318,1,18,3274
Juan_Guaidó,2019010600,1095,1,38,3031
Juan_Guaidó,2019010700,961,1,13,1320
Juan_Guaidó,2019010800,838,1,8,1046
Juan_Guaidó,2019010900,617,1,8,974
Juan_Guaidó,2019011000,1243,1,21,1906
Juan_Guaidó,2019011100,41306,1,1083,137445
Juan_Guaidó,2019011200,35772,1,1630,154420
Juan_Guaidó,2019011300,13061,1,948,50895
Juan_Guaidó,2019011400,14643,1,796,26981
Juan_Guaidó,2019011500,7030,1,507,12252
Juan_Guaidó,2019011600,5197,1,208,9248
Juan_Guaidó,2019011700,4306,1,133,7405
Juan_Guaidó,2019011800,3939,1,91,5603
Juan_Guaidó,2019011900,2815,1,63,5371
Juan_Guaidó,2019012000,2404,1,65,5231
Juan_Guaidó,2019012100,3325,1,70,4753
Juan_Guaidó,2019012200,3640,1,60,5724
Juan_Guaidó,2019012300,81840,1,1846,159922
Juan_Guaidó,2019012400,93698,1,2950,193580
Juan_Guaidó,2019012500,35380,1,1709,80331
Juan_Guaidó,2019012600,17423,1,1535,54260
Juan_Guaidó,2019012700,12705,1,1253,39256
Juan_Guaidó,2019012800,15320,1,961,32709
Juan_Guaidó,2019012900,12697,1,792,28466
Juan_Guaidó,2019013000,10660,1,607,20912
Juan_Guaidó,2019013100,12191,1,681,27793
Emiliano_Sala,2019010100,12,1,0,56
Emiliano_Sala,2019010200,15,1,0,47
Emiliano_Sala,2019010300,24,1,0,45
Emiliano_Sala,2019010400,19,1,0,56
Emiliano_Sala,2019010500,22,1,0,37
Emiliano_Sala,2019010600,13,1,1,53
Emiliano_Sala,2019010700,24,1,0,41
Emiliano_Sala,2019010800,33,1,1,149
Emiliano_Sala,2019010900,21,1,0,93
Emiliano_Sala,2019011000,18,1,0,40
Emiliano_Sala,2019011100,14,1,0,46
Emiliano_Sala,2019011200,15,1,0,55
Emiliano_Sala,2019011300,35,1,0,146
Emiliano_Sala,2019011400,72,1,1,124
Emiliano_Sala,2019011500,374,1,3,469
Emiliano_Sala,2019011600,48,1,1,224
Emiliano_Sala,2019011700,27,1,1,88
Emiliano_Sala,2019011800,295,1,2,559
Emiliano_Sala,2019011900,243,1,5,1063
Emiliano_Sala,2019012000,206,1,9,829
Emiliano_Sala,2019012100,147,1,4,497
Emiliano_Sala,2019012200,45603,1,1562,204785
Emiliano_Sala,2019012300,22626,1,1420,119961
Emiliano_Sala,2019012400,14490,1,1075,68391
Emiliano_Sala,2019012500,9913,1,666,54112
Emiliano_Sala,2019012600,4297,1,514,31557
Emiliano_Sala,2019012700,2586,1,284,20251
Emiliano_Sala,2019012800,3666,1,146,15426
Emiliano_Sala,2019012900,3195,1,135,13291
Emiliano_Sala,2019013000,5447,1,169,21901
Emiliano_Sala,2019013100,3717,1,353,19872
Glass_(película),2019010100,625,1,29,3008
Glass_(película),2019010200,1436,1,46,4115
Glass_(película),2019010300,1309,1,23,3658
Glass_(película),2019010400,1231,1,24,3734
Glass_(película),2019010500,1015,1,45,4229
Glass_(película),2019010600,1087,1,32,5841
Glass_(película),2019010700,1801,1,49,6781
Glass_(película),2019010800,1844,1,54,6000
Glass_(película),2019010900,2029,1,44,6037
Glass_(película),2019011000,2498,1,83,7762
Glass_(película),2019011100,2340,1,65,7610
Glass_(película),2019011200,1700,1,97,9277
Glass_(película),2019011300,1922,1,110,11639
Glass_(película),2019011400,3491,1,79,11633
Glass_(película),2019011500,3565,1,99,12432
Glass_(película),2019011600,4673,1,136,15013
Glass_(película),2019011700,7122,1,183,20499
Glass_(película),2019011800,10135,1,422,34869
Glass_(película),2019011900,7704,1,678,46691
Glass_(película),2019012000,7807,1,860,53896
Glass_(película),2019012100,11241,1,617,38136
Glass_(película),2019012200,8436,1,384,27187
Glass_(película),2019012300,8055,1,343,28496
Glass_(película),2019012400,6995,1,239,24247
Glass_(película),2019012500,6374,1,184,23201
Glass_(película),2019012600,5126,1,213,29245
Glass_(película),2019012700,4988,1,230,31981
Glass_(película),2019012800,6708,1,254,21154
Glass_(película),2019012900,4842,1,148,15173
Glass_(película),2019013000,4593,1,107,15910
Glass_(película),2019013100,4380,1,107,13970
Nicolás_Maduro,2019010100,264,1,11,883
Nicolás_Maduro,2019010200,494,1,24,1037
Nicolás_Maduro,2019010300,428,1,11,1028
Nicolás_Maduro,2019010400,711,1,24,1438
Nicolás_Maduro,2019010500,767,1,40,2492
Nicolás_Maduro,2019010600,628,1,57,2183
Nicolás_Maduro,2019010700,934,1,18,1944
Nicolás_Maduro,2019010800,1112,1,32,2558
Nicolás_Maduro,2019010900,1531,1,37,3157
Nicolás_Maduro,2019011000,5953,1,164,12920
Nicolás_Maduro,2019011100,11010,1,515,28047
Nicolás_Maduro,2019011200,8766,1,639,29407
Nicolás_Maduro,2019011300,4304,1,503,13066
Nicolás_Maduro,2019011400,4499,1,258,8078
Nicolás_Maduro,2019011500,2922,1,119,5358
Nicolás_Maduro,2019011600,2343,1,94,4170
Nicolás_Maduro,2019011700,2124,1,79,3970
Nicolás_Maduro,2019011800,1886,1,81,3483
Nicolás_Maduro,2019011900,1110,1,44,2642
Nicolás_Maduro,2019012000,943,1,26,2362
Nicolás_Maduro,2019012100,1427,1,50,2826
Nicolás_Maduro,2019012200,1690,1,37,3382
Nicolás_Maduro,2019012300,25163,1,579,56437
Nicolás_Maduro,2019012400,33707,1,1250,97186
Nicolás_Maduro,2019012500,17226,1,869,51465
Nicolás_Maduro,2019012600,8559,1,776,33009
Nicolás_Maduro,2019012700,6314,1,699,26775
Nicolás_Maduro,2019012800,8204,1,554,22196
Nicolás_Maduro,2019012900,6889,1,479,18969
Nicolás_Maduro,2019013000,6580,1,481,18280
Nicolás_Maduro,2019013100,6319,1,319,17607
Freddie_Mercury,2019010100,1748,1,435,19852
Freddie_Mercury,2019010200,2894,1,196,13046
Freddie_Mercury,2019010300,2862,1,168,11790
Freddie_Mercury,2019010400,2488,1,172,10847
Freddie_Mercury,2019010500,1993,1,243,11850
Freddie_Mercury,2019010600,2009,1,171,15286
Freddie_Mercury,2019010700,4540,1,195,20388
Freddie_Mercury,2019010800,3762,1,136,12229
Freddie_Mercury,2019010900,3430,1,134,11904
Freddie_Mercury,2019011000,3534,1,125,11112
Freddie_Mercury,2019011100,3057,1,89,10644
Freddie_Mercury,2019011200,2411,1,176,15554
Freddie_Mercury,2019011300,2727,1,185,18626
Freddie_Mercury,2019011400,3883,1,288,12233
Freddie_Mercury,2019011500,3702,1,185,12211
Freddie_Mercury,2019011600,3819,1,128,12217
Freddie_Mercury,2019011700,3714,1,158,15090
Freddie_Mercury,2019011800,3633,1,149,14140
Freddie_Mercury,2019011900,3140,1,222,21856
Freddie_Mercury,2019012000,3977,1,422,29104
Freddie_Mercury,2019012100,4754,1,321,19162
Freddie_Mercury,2019012200,4418,1,160,14613
Freddie_Mercury,2019012300,5413,1,176,18469
Freddie_Mercury,2019012400,5189,1,219,18437
Freddie_Mercury,2019012500,4650,1,197,18006
Freddie_Mercury,2019012600,4107,1,294,27242
Freddie_Mercury,2019012700,4913,1,345,37101
Freddie_Mercury,2019012800,6186,1,387,25865
Freddie_Mercury,2019012900,4729,1,343,17187
Freddie_Mercury,2019013000,4453,1,220,15925
Freddie_Mercury,2019013100,4359,1,143,15119
Presidente_de_Venezuela,2019010100,76,1,2,212
Presidente_de_Venezuela,2019010200,124,1,9,256
Presidente_de_Venezuela,2019010300,139,1,1,231
Presidente_de_Venezuela,2019010400,185,1,4,287
Presidente_de_Venezuela,2019010500,199,1,8,448
Presidente_de_Venezuela,2019010600,180,1,8,431
Presidente_de_Venezuela,2019010700,270,1,6,436
Presidente_de_Venezuela,2019010800,322,1,6,465
Presidente_de_Venezuela,2019010900,398,1,11,606
Presidente_de_Venezuela,2019011000,1381,1,32,1833
Presidente_de_Venezuela,2019011100,19012,1,373,65236
Presidente_de_Venezuela,2019011200,16626,1,652,77629
Presidente_de_Venezuela,2019011300,4876,1,413,20091
Presidente_de_Venezuela,2019011400,4471,1,312,10627
Presidente_de_Venezuela,2019011500,2285,1,99,4459
Presidente_de_Venezuela,2019011600,1823,1,43,3145
Presidente_de_Venezuela,2019011700,1418,1,25,2765
Presidente_de_Venezuela,2019011800,1217,1,25,1628
Presidente_de_Venezuela,2019011900,814,1,27,1373
Presidente_de_Venezuela,2019012000,710,1,15,1334
Presidente_de_Venezuela,2019012100,847,1,9,1334
Presidente_de_Venezuela,2019012200,950,1,17,1320
Presidente_de_Venezuela,2019012300,20558,1,464,45458
Presidente_de_Venezuela,2019012400,19423,1,539,49104
Presidente_de_Venezuela,2019012500,12379,1,392,49573
Presidente_de_Venezuela,2019012600,5950,1,333,31379
Presidente_de_Venezuela,2019012700,4254,1,284,24361
Presidente_de_Venezuela,2019012800,4633,1,157,15595
Presidente_de_Venezuela,2019012900,3853,1,166,21824
Presidente_de_Venezuela,2019013000,2986,1,164,11828
Presidente_de_Venezuela,2019013100,2653,1,119,8392
Venezuela,2019010100,692,1,38,1712
Venezuela,2019010200,1169,1,32,1896
Venezuela,2019010300,1200,1,20,1889
Venezuela,2019010400,1298,1,47,1825
Venezuela,2019010500,1207,1,45,2108
Venezuela,2019010600,1232,1,68,2236
Venezuela,2019010700,1609,1,25,2347
Venezuela,2019010800,1854,1,62,2597
Venezuela,2019010900,2077,1,48,2946
Venezuela,2019011000,3563,1,115,5482
Venezuela,2019011100,11305,1,466,27580
Venezuela,2019011200,11340,1,688,36398
Venezuela,2019011300,5421,1,384,14386
Venezuela,2019011400,5680,1,221,8851
Venezuela,2019011500,4155,1,150,5393
Venezuela,2019011600,4026,1,105,5241
Venezuela,2019011700,3564,1,119,4964
Venezuela,2019011800,3296,1,80,3556
Venezuela,2019011900,2250,1,57,3254
Venezuela,2019012000,2422,1,81,3653
Venezuela,2019012100,3062,1,47,4071
Venezuela,2019012200,3423,1,58,4443
Venezuela,2019012300,25530,1,950,49858
Venezuela,2019012400,25009,1,1293,65039
Venezuela,2019012500,13151,1,798,28992
Venezuela,2019012600,7173,1,475,18530
Venezuela,2019012700,5906,1,406,15694
Venezuela,2019012800,7535,1,345,13998
Venezuela,2019012900,7458,1,310,12534
Venezuela,2019013000,6383,1,228,11505
Venezuela,2019013100,6475,1,238,10802
Roma_(película_de_2018),2019010100,1465,1,186,8145
Roma_(película_de_2018),2019010200,2910,1,162,9455
Roma_(película_de_2018),2019010300,2290,1,98,6784
Roma_(película_de_2018),2019010400,2153,1,75,5488
Roma_(película_de_2018),2019010500,1641,1,100,6574
Roma_(película_de_2018),2019010600,1919,1,105,8912
Roma_(película_de_2018),2019010700,10099,1,394,30016
Roma_(película_de_2018),2019010800,6460,1,360,17436
Roma_(película_de_2018),2019010900,5501,1,441,13009
Roma_(película_de_2018),2019011000,4835,1,363,11582
Roma_(película_de_2018),2019011100,3442,1,159,9623
Roma_(película_de_2018),2019011200,2441,1,204,11930
Roma_(película_de_2018),2019011300,2741,1,203,15326
Roma_(película_de_2018),2019011400,6346,1,193,16283
Roma_(película_de_2018),2019011500,3309,1,222,8247
Roma_(película_de_2018),2019011600,2535,1,138,5379
Roma_(película_de_2018),2019011700,2118,1,78,4625
Roma_(película_de_2018),2019011800,2141,1,74,4913
Roma_(película_de_2018),2019011900,1680,1,87,6785
Roma_(película_de_2018),2019012000,1858,1,112,8414
Roma_(película_de_2018),2019012100,2219,1,79,5728
Roma_(película_de_2018),2019012200,18378,1,343,26294
Roma_(película_de_2018),2019012300,13143,1,497,29135
Roma_(película_de_2018),2019012400,7550,1,244,17981
Roma_(película_de_2018),2019012500,6200,1,223,15821
Roma_(película_de_2018),2019012600,4315,1,219,20382
Roma_(película_de_2018),2019012700,4103,1,319,23790
Roma_(película_de_2018),2019012800,5413,1,180,15576
Roma_(película_de_2018),2019012900,3950,1,75,9061
Roma_(película_de_2018),2019013000,3417,1,79,7853
Roma_(película_de_2018),2019013100,2952,1,71,6717
Campeonato_Sudamericano_de_Fútbol_Sub-20_de_2019,2019010100,427,1,10,776
Campeonato_Sudamericano_de_Fútbol_Sub-20_de_2019,2019010200,1116,1,9,1386
Campeonato_Sudamericano_de_Fútbol_Sub-20_de_2019,2019010300,1082,1,26,1399
Campeonato_Sudamericano_de_Fútbol_Sub-20_de_2019,2019010400,939,1,11,1223
Campeonato_Sudamericano_de_Fútbol_Sub-20_de_2019,2019010500,668,1,27,1060
Campeonato_Sudamericano_de_Fútbol_Sub-20_de_2019,2019010600,609,1,15,1190
Campeonato_Sudamericano_de_Fútbol_Sub-20_de_2019,2019010700,803,1,18,1184
Campeonato_Sudamericano_de_Fútbol_Sub-20_de_2019,2019010800,950,1,16,1167
Campeonato_Sudamericano_de_Fútbol_Sub-20_de_2019,2019010900,1003,1,18,1393
Campeonato_Sudamericano_de_Fútbol_Sub-20_de_2019,2019011000,996,1,12,1302
Campeonato_Sudamericano_de_Fútbol_Sub-20_de_2019,2019011100,951,1,29,1348
Campeonato_Sudamericano_de_Fútbol_Sub-20_de_2019,2019011200,855,1,8,1483
Campeonato_Sudamericano_de_Fútbol_Sub-20_de_2019,2019011300,912,1,19,1687
Campeonato_Sudamericano_de_Fútbol_Sub-20_de_2019,2019011400,1888,1,32,2271
Campeonato_Sudamericano_de_Fútbol_Sub-20_de_2019,2019011500,2215,1,34,2877
Campeonato_Sudamericano_de_Fútbol_Sub-20_de_2019,2019011600,3251,1,120,3761
Campeonato_Sudamericano_de_Fútbol_Sub-20_de_2019,2019011700,6908,1,201,10252
Campeonato_Sudamericano_de_Fútbol_Sub-20_de_2019,2019011800,8746,1,266,12328
Campeonato_Sudamericano_de_Fútbol_Sub-20_de_2019,2019011900,8497,1,186,17627
Campeonato_Sudamericano_de_Fútbol_Sub-20_de_2019,2019012000,9733,1,341,20328
Campeonato_Sudamericano_de_Fútbol_Sub-20_de_2019,2019012100,11527,1,282,16583
Campeonato_Sudamericano_de_Fútbol_Sub-20_de_2019,2019012200,12581,1,299,18335
Campeonato_Sudamericano_de_Fútbol_Sub-20_de_2019,2019012300,10801,1,231,15576
Campeonato_Sudamericano_de_Fútbol_Sub-20_de_2019,2019012400,14412,1,285,21117
Campeonato_Sudamericano_de_Fútbol_Sub-20_de_2019,2019012500,14096,1,321,23573
Campeonato_Sudamericano_de_Fútbol_Sub-20_de_2019,2019012600,14860,1,370,29977
Campeonato_Sudamericano_de_Fútbol_Sub-20_de_2019,2019012700,8114,1,313,17264
Campeonato_Sudamericano_de_Fútbol_Sub-20_de_2019,2019012800,5486,1,127,6665
Campeonato_Sudamericano_de_Fútbol_Sub-20_de_2019,2019012900,7013,1,133,9859
Campeonato_Sudamericano_de_Fútbol_Sub-20_de_2019,2019013000,8734,1,213,13743
Campeonato_Sudamericano_de_Fútbol_Sub-20_de_2019,2019013100,3763,1,73,4880
Bird_Box_(película),2019010100,3551,1,631,34298
Bird_Box_(película),2019010200,7701,1,465,40197
Bird_Box_(película),2019010300,8815,1,665,36748
Bird_Box_(película),2019010400,6975,1,603,31167
Bird_Box_(película),2019010500,4061,1,555,25946
Bird_Box_(película),2019010600,3707,1,534,28303
Bird_Box_(película),2019010700,4738,1,383,21868
Bird_Box_(película),2019010800,4011,1,205,15186
