article,views,rank,month
Coronavirus,2783277,3,01
Kobe_Bryant,2563143,4,01
Isabel_II_del_Reino_Unido,741392,6,01
Primera_Guerra_Mundial,572830,7,01
Segunda_Guerra_Mundial,540519,8,01
Quique_Setién,527723,9,01
Aaron_Hernandez,487751,10,01
Qasem_Soleimani,455626,11,01
Tercera_Guerra_Mundial,446396,12,01
Tabla_periódica_de_los_elementos,431271,13,01
RT,408916,14,01
Stephen_Hawking,398566,16,01
Sex_Education,387828,17,01
Benedicto_XVI,381650,18,01
Marisol,367615,19,01
Parásitos_(película),848420,4,02
Coronavirus,782529,5,02
Miguel_Ángel_Félix_Gallardo,752848,6,02
Día_de_San_Valentín,621394,7,02
Joaquin_Phoenix,621081,8,02
Jennifer_Lopez,574964,9,02
Tabla_periódica_de_los_elementos,532645,10,02
Constitución_Política_de_los_Estados_Unidos_Mexicanos,530312,11,02
Primera_Guerra_Mundial,485279,12,02
Kirk_Douglas,442021,13,02
Shakira,394648,14,02
Kobe_Bryant,378979,15,02
Billie_Eilish,372163,16,02
Segunda_Guerra_Mundial,357005,17,02
Tini_Stoessel,354970,18,02
Pandemia_de_enfermedad_por_coronavirus_de_2019-2020,2935756,3,03
COVID-19,2274794,4,03
Peste_negra,1637421,5,03
Pandemia_de_gripe_de_1918,1472336,6,03
Día_Internacional_de_la_Mujer,1322917,7,03
SARS-CoV-2,1161490,8,03
Orthocoronavirinae,1130126,9,03
Cuarentena,1119531,10,03
Pandemia,1016951,11,03
Pandemia_de_gripe_A_(H1N1)_de_2009-2010,946781,13,03
Virus,860374,14,03
Estado_de_alarma,700926,15,03
Sigmund_Freud,673785,17,03
Nostradamus,647546,18,03
Nayib_Bukele,637471,19,03
Pandemia_de_enfermedad_por_coronavirus_de_2019-2020,2651791,3,04
COVID-19,2407385,4,04
Peste_negra,1278632,5,04
Pandemia_de_gripe_de_1918,1191358,6,04
Kim_Jong-un,1185609,7,04
La_casa_de_papel,1166294,8,04
Tabla_periódica_de_los_elementos,775528,10,04
Virus,714510,11,04
Accidente_de_Chernóbil,704577,12,04
Freddie_Mercury,653857,13,04
Najwa_Nimri,598713,15,04
Isabel_II_del_Reino_Unido,589119,16,04
Segunda_Guerra_Mundial,582303,17,04
Primera_Guerra_Mundial,569015,18,04
Estado_socialista,568234,19,04
Pandemia_de_enfermedad_por_coronavirus_de_2019-2020,1348164,3,05
COVID-19,1310192,4,05
Michael_Jordan,1141243,5,05
Tabla_periódica_de_los_elementos,911202,6,05
Revolución_de_Mayo,725663,7,05
Día_Internacional_de_los_Trabajadores,639863,9,05
Elon_Musk,604576,10,05
Pandemia_de_gripe_de_1918,579425,11,05
Peste_negra,559748,12,05
Fernando_Simón,548709,13,05
Segunda_Guerra_Mundial,524026,14,05
Freddie_Mercury,521729,15,05
Día_de_la_Madre,493648,16,05
Primera_Guerra_Mundial,489175,17,05
Batalla_de_Puebla,488597,18,05
Manuel_Belgrano,1224960,3,06
Anonymous,1214943,4,06
Jeffrey_Epstein,1177183,5,06
Dark_(serie_de_televisión),819826,6,06
Pandemia_de_enfermedad_por_coronavirus_de_2019-2020,810491,7,06
Muerte_de_George_Floyd,782321,8,06
COVID-19,759918,9,06
Tabla_periódica_de_los_elementos,713251,10,06
Paulette_Gebara_Farah,709227,11,06
Pau_Donés,651741,12,06
Pizzagate,639729,13,06
365_Dni,482701,15,06
Donald_Trump,423015,16,06
Isabel_II_del_Reino_Unido,412497,17,06
Martín_Miguel_de_Güemes,412347,18,06
Peste_negra,1035372,3,07
Naya_Rivera,816886,4,07
Dark_(serie_de_televisión),662829,6,07
Tabla_periódica_de_los_elementos,569975,7,07
Pandemia_de_enfermedad_por_coronavirus_de_2019-2020,553191,8,07
Anne_with_an_E,494352,9,07
Kelly_Preston,482930,10,07
Pasión_de_gavilanes,386623,11,07
Peste_bubónica,377480,12,07
Declaración_de_independencia_de_la_Argentina,371733,13,07
Arroba_(símbolo),368347,14,07
COVID-19,355731,16,07
Gmail,340591,17,07
Will_Smith,329075,18,07
Isabel_II_del_Reino_Unido,311209,19,07
Chadwick_Boseman,1095701,4,08
José_de_San_Martín,844493,5,08
Liga_de_Campeones_de_la_UEFA,740021,6,08
Tabla_periódica_de_los_elementos,719361,7,08
Asalto_al_Banco_de_la_República_en_Valledupar,641457,8,08
Líbano,552358,9,08
Ronald_Koeman,518994,10,08
Belinda_(cantante),508812,11,08
Ed_y_Lorraine_Warren,505950,12,08
Lionel_Messi,498238,13,08
Muñeca_Annabelle,465609,14,08
Pandemia_de_enfermedad_por_coronavirus_de_2019-2020,464858,15,08
Christian_Nodal,435444,16,08
Beirut,408463,17,08
Anne_with_an_E,380700,18,08
Independencia_de_México,1030211,3,09
Tabla_periódica_de_los_elementos,943895,4,09
Cobra_Kai,590277,7,09
Domingo_Faustino_Sarmiento,461507,9,09
Atentados_del_11_de_septiembre_de_2001,456643,10,09
Pandemia_de_enfermedad_por_coronavirus_de_2019-2020,411221,11,09
Método_científico,400743,13,09
Miguel_Hidalgo_y_Costilla,383388,14,09
Propiedades_intensivas_y_extensivas,381406,15,09
Facebook,361174,16,09
Revolución_Industrial,356648,17,09
Primera_Guerra_Mundial,353047,18,09
Geografía_de_México,350770,19,09
Niños_Héroes,347985,20,09
Ralph_Macchio,346921,21,09
Carlo_Acutis,1847822,3,10
Tabla_periódica_de_los_elementos,1282058,4,10
Descubrimiento_de_América,701756,6,10
Menudo_(banda),688499,7,10
Día_de_la_Raza,649037,8,10
